Time,People Count,Density
17:40:44,11,LOW
17:40:44,11,LOW
17:40:44,11,LOW
17:40:44,11,LOW
17:40:45,11,LOW
17:40:45,11,LOW
17:40:45,11,LOW
17:40:45,11,LOW
17:40:45,11,LOW
17:40:45,11,LOW
17:40:46,11,LOW
17:40:46,11,LOW
17:40:46,11,LOW
17:40:46,11,LOW
17:40:46,10,LOW
17:40:46,11,LOW
17:40:46,11,LOW
17:40:47,11,LOW
17:40:47,11,LOW
17:40:47,12,LOW
17:40:47,12,LOW
17:40:47,11,LOW
17:40:47,11,LOW
17:40:48,12,LOW
17:40:48,11,LOW
17:40:48,13,LOW
17:40:48,13,LOW
17:40:48,13,LOW
17:40:48,13,LOW
17:40:48,13,LOW
17:40:49,12,LOW
17:40:49,13,LOW
17:40:49,13,LOW
17:40:49,14,LOW
17:40:49,14,LOW
17:40:49,13,LOW
17:40:49,13,LOW
17:40:50,13,LOW
17:40:50,13,LOW
17:40:50,12,LOW
17:40:50,12,LOW
17:40:50,12,LOW
17:40:50,13,LOW
17:40:51,13,LOW
17:40:51,12,LOW
17:40:51,13,LOW
17:40:51,13,LOW
17:40:51,14,LOW
17:40:51,14,LOW
17:40:51,14,LOW
17:40:52,13,LOW
17:40:52,12,LOW
17:40:52,11,LOW
17:40:52,11,LOW
17:40:52,12,LOW
17:40:52,12,LOW
17:40:53,12,LOW
17:40:53,11,LOW
17:40:53,11,LOW
17:40:53,12,LOW
17:40:53,12,LOW
17:40:53,12,LOW
17:40:53,12,LOW
17:40:54,13,LOW
17:40:54,12,LOW
17:40:54,12,LOW
17:40:54,13,LOW
17:40:54,13,LOW
17:40:54,12,LOW
17:40:55,10,LOW
17:40:55,13,LOW
17:40:55,14,LOW
17:40:55,13,LOW
17:40:55,12,LOW
17:40:55,12,LOW
17:40:55,12,LOW
17:40:56,12,LOW
17:40:56,13,LOW
17:40:56,12,LOW
17:40:56,12,LOW
17:40:56,12,LOW
17:40:56,12,LOW
17:40:57,12,LOW
17:40:57,12,LOW
17:40:57,12,LOW
17:40:57,12,LOW
17:40:57,12,LOW
17:40:57,12,LOW
17:40:57,12,LOW
17:40:58,12,LOW
17:40:58,12,LOW
17:40:58,12,LOW
17:40:58,12,LOW
17:40:58,12,LOW
17:40:58,11,LOW
17:40:59,11,LOW
17:40:59,11,LOW
17:40:59,11,LOW
17:40:59,11,LOW
17:40:59,11,LOW
17:40:59,11,LOW
17:40:59,11,LOW
17:41:00,11,LOW
17:41:00,11,LOW
17:41:00,11,LOW
17:41:00,11,LOW
17:41:00,11,LOW
17:41:00,11,LOW
17:41:00,10,LOW
17:41:01,11,LOW
17:41:01,11,LOW
17:41:01,12,LOW
17:41:01,11,LOW
17:41:01,12,LOW
17:41:01,12,LOW
17:41:02,11,LOW
17:41:02,12,LOW
17:41:02,11,LOW
17:41:02,12,LOW
17:41:02,12,LOW
17:41:02,12,LOW
17:41:02,12,LOW
17:41:03,12,LOW
17:41:03,11,LOW
17:41:03,12,LOW
17:41:03,12,LOW
17:41:03,12,LOW
17:41:03,12,LOW
17:41:03,12,LOW
17:41:04,12,LOW
17:41:04,12,LOW
17:41:04,13,LOW
17:41:04,12,LOW
17:41:04,12,LOW
17:41:04,13,LOW
17:41:05,13,LOW
17:41:05,12,LOW
17:41:05,12,LOW
17:41:05,13,LOW
17:41:05,12,LOW
17:41:05,12,LOW
17:41:05,12,LOW
17:41:06,13,LOW
17:41:06,11,LOW
17:41:06,12,LOW
17:41:06,12,LOW
17:41:06,12,LOW
17:41:06,12,LOW
17:41:07,13,LOW
17:41:07,12,LOW
17:41:07,12,LOW
17:41:07,12,LOW
17:41:07,12,LOW
17:41:07,13,LOW
17:41:07,13,LOW
17:41:08,12,LOW
17:41:08,12,LOW
