Time,Area A,Area B,Best Route
18:11:07,12,35,1
18:11:07,11,31,1
18:11:07,13,31,1
18:11:08,11,33,1
18:11:08,11,36,1
18:11:08,14,38,1
18:11:08,13,38,1
18:11:08,12,35,1
18:11:08,14,34,1
18:11:09,13,35,1
18:11:09,14,35,1
18:11:09,15,41,1
18:11:09,13,37,1
18:11:09,12,38,1
18:11:09,13,41,1
18:11:10,12,42,1
18:11:10,14,37,1
18:11:10,10,36,1
18:11:10,10,38,1
18:11:10,10,37,1
18:11:10,11,42,1
18:11:11,12,43,1
18:11:11,11,39,1
18:11:11,9,37,1
18:11:11,9,43,1
18:11:11,11,43,1
18:11:11,11,45,1
18:11:11,12,39,1
18:11:12,9,40,1
18:11:12,9,35,1
18:11:12,9,40,1
18:11:12,7,41,1
18:11:12,9,39,1
18:11:12,8,43,1
18:11:13,7,44,1
18:11:13,8,47,1
18:11:13,7,45,1
18:11:13,7,44,1
18:11:13,7,44,1
18:11:13,9,43,1
18:11:14,9,43,1
18:11:14,8,43,1
18:11:14,9,44,1
18:11:14,8,48,1
18:11:14,8,46,1
18:11:14,7,35,1
18:11:14,6,40,1
18:11:15,27,46,1
18:11:15,25,46,1
18:11:15,27,43,1
18:11:15,27,43,1
18:11:15,27,45,1
18:11:15,28,40,1
18:11:16,28,38,1
18:11:16,27,37,1
18:11:16,30,43,1
18:11:16,27,41,1
18:11:16,28,41,1
18:11:16,29,37,1
18:11:17,25,40,1
18:11:17,26,41,1
18:11:17,27,38,1
18:11:17,29,38,1
18:11:17,28,39,1
18:11:17,28,43,1
18:11:17,28,41,1
18:11:18,28,40,1
18:11:18,27,35,1
18:11:18,27,39,1
18:11:18,27,34,1
18:11:18,27,37,1
18:11:18,25,36,1
18:11:19,28,32,1
18:11:19,25,36,1
18:11:19,26,39,1
18:11:19,28,37,1
18:11:19,28,32,1
18:11:19,30,34,1
18:11:20,28,34,1
18:11:20,27,37,1
18:11:20,26,37,1
18:11:20,27,37,1
18:11:20,27,32,1
18:11:20,25,31,1
18:11:20,25,34,1
18:11:21,26,33,1
18:11:21,25,37,1
18:11:21,24,37,1
18:11:21,26,35,1
18:11:21,28,34,1
18:11:21,27,38,1
18:11:22,26,35,1
18:11:22,26,38,1
18:11:22,26,42,1
18:11:22,26,43,1
18:11:22,27,40,1
18:11:22,28,45,1
18:11:23,25,40,1
18:11:23,25,35,1
18:11:23,27,34,1
18:11:23,25,37,1
18:11:23,26,35,1
18:11:23,27,37,1
18:11:23,30,35,1
18:11:24,30,40,1
18:11:24,29,38,1
18:11:24,28,33,1
18:11:24,29,34,1
18:11:24,28,35,1
18:11:24,27,39,1
18:11:25,29,34,1
18:11:25,31,36,1
18:11:25,27,34,1
18:11:25,25,31,1
18:11:25,25,31,1
18:11:25,31,35,1
18:11:26,26,32,1
18:11:26,27,35,1
18:11:26,26,34,1
18:11:26,27,36,1
18:11:26,28,37,1
18:11:26,28,37,1
18:11:26,26,40,1
18:11:27,24,37,1
18:11:27,28,39,1
18:11:27,25,38,1
18:11:27,26,33,1
18:11:27,26,34,1
18:11:27,24,32,1
18:11:28,24,30,1
18:11:28,24,32,1
18:11:28,25,31,1
18:11:28,26,32,1
18:11:28,29,34,1
18:11:28,29,28,2
18:11:29,28,35,1
18:11:29,29,30,1
18:11:29,29,33,1
